#             |P|               []
   1.52029382e-02   5.96770000e-01
   1.14153227e-02   5.96879000e-01
   6.01342339e-03   5.96285000e-01
   2.83341958e-03   5.96336000e-01
   9.11976124e-04   5.96664000e-01
   2.37115848e-02   5.96484000e-01
   1.31165215e-02   5.97085000e-01
   5.50450681e-03   5.97404000e-01
   1.05317320e-03   5.97317000e-01
   5.13438844e-03   5.97289000e-01
   1.18388487e-02   5.96825000e-01
   1.59602453e-02   5.97107000e-01
   2.49576180e-03   5.96747000e-01
   7.90085358e-03   5.96862000e-01
   2.63495051e-02   5.98001000e-01
   1.38033066e-02   5.96123000e-01
   3.90371470e-03   5.96704000e-01
   7.10999075e-03   5.96177000e-01
   7.92614985e-03   5.96519000e-01
   8.98853173e-03   5.97335000e-01
   3.66155075e-03   5.97007000e-01
   1.26553467e-02   5.97063000e-01
   1.69685133e-02   5.96753000e-01
   8.94733191e-03   5.96583000e-01
   4.63669728e-03   5.97147000e-01
   7.59428458e-03   5.97084000e-01
   8.83813632e-03   5.96813000e-01
   1.12059633e-02   5.97556000e-01
   2.11482914e-02   5.96702000e-01
   1.02667826e-02   5.96532000e-01
   1.15331687e-02   5.97042000e-01
   8.76258398e-03   5.96548000e-01
   2.56482446e-02   5.97618000e-01
   6.80028027e-03   5.96514000e-01
   9.65024482e-03   5.97569000e-01
   6.65538256e-03   5.96533000e-01
   1.65584442e-02   5.97237000e-01
   5.58973009e-03   5.97480000e-01
   2.08395396e-02   5.97123000e-01
   1.75973894e-02   5.97128000e-01
   9.83134124e-03   5.97189000e-01
   8.70333703e-03   5.97209000e-01
   1.11382999e-02   5.97524000e-01
   1.73417543e-02   5.97056000e-01
   1.15254690e-02   5.97160000e-01
   2.78108250e-02   5.96811000e-01
   1.19062790e-02   5.96960000e-01
   1.05222072e-02   5.96385000e-01
   1.01714648e-02   5.96990000e-01
   1.55414190e-02   5.97368000e-01
   1.81737831e-02   5.96130000e-01
   1.46989110e-03   5.97677000e-01
   7.84696299e-03   5.96812000e-01
   1.12029376e-02   5.97334000e-01
   2.16087225e-02   5.96927000e-01
   9.85691585e-03   5.97009000e-01
   4.31014697e-03   5.96504000e-01
   3.33262585e-02   5.97379000e-01
   8.80055630e-03   5.96910000e-01
   1.19004617e-02   5.96692000e-01
   1.06773299e-02   5.96891000e-01
   7.78349899e-04   5.97127000e-01
   4.42448247e-03   5.96848000e-01
   1.12457341e-02   5.96969000e-01
   1.09395478e-02   5.97931000e-01
   2.19087807e-02   5.97632000e-01
   3.37523003e-03   5.96744000e-01
   2.10857140e-02   5.96196000e-01
   1.10984979e-02   5.97492000e-01
   8.00102000e-03   5.96956000e-01
   1.99137964e-02   5.97112000e-01
   6.99958945e-03   5.96444000e-01
   8.48885019e-03   5.97204000e-01
   5.00742234e-03   5.96780000e-01
   1.10585627e-02   5.97202000e-01
   6.05882079e-03   5.96807000e-01
   1.06485641e-02   5.97165000e-01
   6.46472702e-03   5.96954000e-01
   8.62252775e-03   5.96944000e-01
   8.99012943e-03   5.97444000e-01
   3.65213622e-03   5.96667000e-01
   2.16830982e-03   5.96697000e-01
   2.03008517e-02   5.97110000e-01
   9.73041654e-03   5.97254000e-01
   4.01705463e-02   5.96412000e-01
   2.11499503e-03   5.96109000e-01
   3.28843114e-03   5.96784000e-01
   2.08456191e-02   5.97179000e-01
   3.63369278e-03   5.96977000e-01
   9.96332472e-03   5.96949000e-01
   6.75060852e-03   5.97340000e-01
   9.92561051e-03   5.96315000e-01
   2.52913906e-02   5.96699000e-01
   4.87761371e-03   5.96256000e-01
   5.68009381e-03   5.96497000e-01
   3.02824658e-02   5.97107000e-01
