#          |P|               []
   3.86491758e-03   6.44285000e-01
   5.27876683e-03   6.44396000e-01
   4.65012581e-03   6.44351000e-01
   3.41148459e-03   6.44322000e-01
   4.38249580e-03   6.44427000e-01
   5.19745479e-03   6.44221000e-01
   5.22883993e-03   6.44232000e-01
   5.60026958e-03   6.44437000e-01
   5.10938119e-03   6.44351000e-01
   3.56079278e-03   6.44369000e-01
   4.13474453e-03   6.44516000e-01
   6.52085248e-03   6.44335000e-01
   1.89870104e-03   6.44296000e-01
   5.49731236e-03   6.44191000e-01
   2.93529825e-03   6.44325000e-01
   4.20008636e-03   6.44366000e-01
   5.93159896e-03   6.44292000e-01
   2.61897194e-03   6.44471000e-01
   4.47033249e-03   6.44316000e-01
   6.52602866e-03   6.44306000e-01
   4.47831511e-03   6.44124000e-01
   3.39980821e-03   6.44407000e-01
   4.10712780e-03   6.44383000e-01
   3.95636206e-03   6.44232000e-01
   4.83439527e-03   6.44263000e-01
   5.39427467e-03   6.44468000e-01
   2.66906398e-03   6.44364000e-01
   5.28017877e-03   6.44376000e-01
   5.23901000e-03   6.44321000e-01
   2.96253373e-03   6.44302000e-01
   3.95009834e-03   6.44378000e-01
   5.92879111e-03   6.44469000e-01
   4.16413330e-03   6.44326000e-01
   4.90696014e-03   6.44375000e-01
   4.66251002e-03   6.44258000e-01
   5.40459480e-03   6.44215000e-01
   4.42889924e-03   6.44211000e-01
   5.07168602e-03   6.44351000e-01
   3.67538714e-03   6.44287000e-01
   4.02067851e-03   6.44252000e-01
   3.37538606e-03   6.44416000e-01
   3.10291947e-03   6.44248000e-01
   3.97230496e-03   6.44407000e-01
   4.92537323e-03   6.44116000e-01
   5.02192097e-03   6.44391000e-01
   5.70908995e-03   6.44426000e-01
   4.90212618e-03   6.44344000e-01
   4.59998416e-03   6.44280000e-01
   5.07539992e-03   6.44460000e-01
   4.84381288e-03   6.44312000e-01
   3.88046241e-03   6.44284000e-01
   3.65115615e-03   6.44260000e-01
   5.37405487e-03   6.44448000e-01
   4.05018082e-03   6.44291000e-01
   5.69145602e-03   6.44398000e-01
   5.19163539e-03   6.44195000e-01
   3.84577821e-03   6.44277000e-01
   4.34311152e-03   6.44357000e-01
   5.06228400e-03   6.44465000e-01
   3.87874847e-03   6.44285000e-01
   4.33869121e-03   6.44276000e-01
   3.96739706e-03   6.44328000e-01
   5.03118502e-03   6.44339000e-01
   3.99530656e-03   6.44292000e-01
   4.37976619e-03   6.44214000e-01
   5.43755057e-03   6.44459000e-01
   3.73396972e-03   6.44291000e-01
   3.88931300e-03   6.44138000e-01
   5.33573908e-03   6.44439000e-01
   4.24339288e-03   6.44310000e-01
   4.87403562e-03   6.44375000e-01
   4.17132509e-03   6.44175000e-01
   5.03361396e-03   6.44321000e-01
   6.62380114e-03   6.44114000e-01
   4.33834837e-03   6.44277000e-01
   3.75300943e-03   6.44284000e-01
   3.14024916e-03   6.44402000e-01
   1.96832957e-03   6.44233000e-01
   1.94838158e-03   6.44124000e-01
   2.31929625e-03   6.44391000e-01
   5.27895421e-03   6.44344000e-01
   2.65296672e-03   6.44311000e-01
   2.33622930e-03   6.44354000e-01
   4.71189325e-03   6.44223000e-01
   4.98706601e-03   6.44287000e-01
   1.18075537e-03   6.44381000e-01
   1.59334356e-03   6.44308000e-01
   3.94823436e-03   6.44251000e-01
   4.13626218e-03   6.44261000e-01
   4.11007488e-03   6.44393000e-01
   5.20295115e-03   6.44368000e-01
   5.39750325e-03   6.44190000e-01
   5.55170865e-03   6.44331000e-01
   3.10587592e-03   6.44148000e-01
   5.54233370e-03   6.44326000e-01
   4.83870376e-03   6.44253000e-01
   3.02195670e-03   6.44419000e-01
   4.80919987e-03   6.44259000e-01
   5.77833771e-03   6.44264000e-01
   5.02503946e-03   6.44409000e-01
   4.01378150e-03   6.44345000e-01
   4.88721993e-03   6.44284000e-01
   4.96640440e-03   6.44333000e-01
   5.29115420e-03   6.44487000e-01
   5.18444478e-03   6.44306000e-01
   5.88618875e-03   6.44262000e-01
   4.61981661e-03   6.44273000e-01
   4.57374653e-03   6.44388000e-01
   5.55956700e-03   6.44265000e-01
   4.75192031e-03   6.44297000e-01
   6.24422050e-03   6.44434000e-01
   2.64089602e-03   6.44341000e-01
   6.22163614e-03   6.44446000e-01
   4.64850625e-03   6.44276000e-01
   3.61251790e-03   6.44385000e-01
   3.47701082e-03   6.44360000e-01
   4.62785737e-03   6.44257000e-01
   4.91149077e-03   6.44348000e-01
   6.40584786e-03   6.44290000e-01
   5.91454799e-03   6.44393000e-01
   4.37838327e-03   6.44343000e-01
   3.66105509e-03   6.44393000e-01
   3.51995637e-03   6.44280000e-01
   6.20101087e-03   6.44382000e-01
   3.78834484e-03   6.44223000e-01
   4.13412768e-03   6.44247000e-01
   4.17182477e-03   6.44316000e-01
   1.91922973e-03   6.44244000e-01
   3.76616301e-03   6.44347000e-01
   4.66213017e-03   6.44285000e-01
   3.20544902e-03   6.44343000e-01
   4.57136450e-03   6.44387000e-01
   3.94024901e-03   6.44203000e-01
   4.45031164e-03   6.44204000e-01
   5.28871975e-03   6.44320000e-01
   1.74054815e-03   6.44331000e-01
   3.32058402e-03   6.44287000e-01
   1.32147495e-03   6.44206000e-01
   3.43143829e-03   6.44329000e-01
   3.80096388e-03   6.44225000e-01
   2.21879504e-03   6.44417000e-01
   3.77587647e-03   6.44428000e-01
   5.71117092e-03   6.44325000e-01
   3.96147151e-03   6.44438000e-01
   5.26949318e-03   6.44278000e-01
   5.23802929e-03   6.44340000e-01
   3.98282219e-03   6.44227000e-01
   2.30508072e-03   6.44533000e-01
   2.79233132e-03   6.44353000e-01
   4.27378758e-03   6.44142000e-01
   6.23573030e-03   6.44413000e-01
   4.06732788e-03   6.44342000e-01
   4.43639704e-03   6.44373000e-01
   2.70729899e-03   6.44309000e-01
   3.90134830e-03   6.44154000e-01
   5.91083377e-03   6.44174000e-01
   5.74500839e-03   6.44359000e-01
   4.62816357e-03   6.44336000e-01
   4.93137650e-03   6.44181000e-01
   5.57766850e-03   6.44283000e-01
   4.93408201e-03   6.44229000e-01
   5.22553606e-03   6.44393000e-01
   3.74126004e-03   6.44254000e-01
   3.58561041e-03   6.44305000e-01
   3.36063056e-03   6.44456000e-01
   5.27234271e-03   6.44344000e-01
